Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Age_Group,Age Group
2022-08-27 21:28:18,18.0,Spotify,4.0,False,False,False,Video game music,False,Yes,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,7.0,7.0,10.0,2.0,No effect,I understand.,0-18,0-18
2022-08-27 21:40:40,40.5,YouTube Music,2.5,True,False,True,Jazz,True,Yes,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,9.0,7.0,3.0,3.0,Improve,I understand.,36-45,36-45
2022-08-27 21:54:47,18.0,Spotify,4.0,True,False,False,R&B,True,No,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,7.0,2.0,5.0,9.0,Improve,I understand.,0-18,0-18
2022-08-27 21:56:50,18.0,Spotify,5.0,True,True,True,Jazz,True,Yes,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,8.0,8.0,7.0,7.0,Improve,I understand.,0-18,0-18
2022-08-27 22:00:29,18.0,YouTube Music,3.0,True,True,False,Video game music,True,Yes,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,4.0,8.0,6.0,0.0,Improve,I understand.,0-18,0-18
2022-08-27 22:18:59,21.0,Spotify,1.0,True,False,False,K pop,True,Yes,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,5.0,3.0,5.0,3.0,Improve,I understand.,19-25,19-25
2022-08-27 22:33:05,19.0,Spotify,6.0,True,False,False,Rock,False,No,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,2.0,0.0,0.0,0.0,Improve,I understand.,19-25,19-25
2022-08-27 22:44:03,18.0,I do not use a streaming service.,1.0,True,False,False,R&B,True,Yes,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,2.0,2.0,5.0,1.0,Improve,I understand.,0-18,0-18
2022-08-27 23:00:32,19.0,YouTube Music,8.0,True,False,False,EDM,True,No,125.0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,1.0,0.0,0.0,1.0,Improve,I understand.,19-25,19-25
2022-08-27 23:12:03,19.0,Spotify,2.0,True,False,False,Country,True,No,88.0,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,2.0,1.0,2.0,0.0,Improve,I understand.,19-25,19-25
